                        0    1  predicted
0    test/10008707066.jpg    0        0.0
1    test/10099910984.jpg    0        0.0
2    test/10107730656.jpg  180      180.0
3    test/10161556064.jpg  270      270.0
4    test/10164298814.jpg    0        0.0
5    test/10196604813.jpg   90      270.0
6      test/102461489.jpg    0        0.0
7    test/10304005245.jpg   90       90.0
8    test/10313218445.jpg   90       90.0
9    test/10351347465.jpg  270      270.0
10   test/10352491496.jpg   90      270.0
11   test/10353444674.jpg  270      270.0
12   test/10484444553.jpg  180        0.0
13   test/10577249185.jpg  180        0.0
14   test/10684428096.jpg   90      270.0
15    test/1074374765.jpg    0        0.0
16   test/10795283303.jpg  180      180.0
17   test/10814107565.jpg  180      180.0
18     test/108172840.jpg  270      270.0
19   test/10931472764.jpg    0      270.0
20   test/11057679623.jpg    0       90.0
21   test/11185093106.jpg  180      180.0
22     test/112713406.jpg    0      270.0
23      test/11273674.jpg  180      180.0
24   test/11418669873.jpg    0       90.0
25   test/11490994083.jpg   90       90.0
26   test/11536463476.jpg   90       90.0
27    test/1160014608.jpg  180      270.0
28   test/11610344784.jpg  270      270.0
29   test/11673951276.jpg  270      270.0
30   test/11722525924.jpg  180      270.0
31   test/11897908725.jpg  270      270.0
32    test/1194122691.jpg  270      270.0
33   test/12063320613.jpg   90       90.0
34   test/12115177323.jpg  270      270.0
35   test/12178947064.jpg   90       90.0
36   test/12179163976.jpg    0       90.0
37   test/12449930553.jpg  180      270.0
38   test/12605538693.jpg  270      270.0
39   test/12735208893.jpg  180      180.0
40     test/127673105.jpg    0        0.0
41   test/12799838924.jpg    0        0.0
42   test/12988026705.jpg  180      180.0
43     test/131087914.jpg  180      180.0
44   test/13159790395.jpg    0        0.0
45   test/13316864953.jpg  180      180.0
46     test/133910954.jpg    0      270.0
47   test/13395784165.jpg   90      270.0
48   test/13416660454.jpg  180      270.0
49   test/13439211345.jpg   90      270.0
50   test/13503513433.jpg    0        0.0
51     test/135103280.jpg   90       90.0
52   test/13838811034.jpg    0        0.0
53   test/13878624363.jpg    0        0.0
54   test/13886434273.jpg    0        0.0
55   test/13888636937.jpg   90       90.0
56     test/139395528.jpg  180      180.0
57     test/139398682.jpg  180      180.0
58   test/13962200152.jpg  180      180.0
59   test/14016488749.jpg   90       90.0
60   test/14018235306.jpg   90       90.0
61   test/14080113939.jpg   90       90.0
62   test/14085010405.jpg   90       90.0
63   test/14138245050.jpg  270      270.0
64   test/14169793959.jpg    0        0.0
65     test/141722180.jpg   90       90.0
66   test/14192679221.jpg  270      270.0
67   test/14229728446.jpg  270      270.0
68   test/14270821734.jpg    0        0.0
69   test/14283037461.jpg    0        0.0
70   test/14284767631.jpg    0      180.0
71   test/14288232893.jpg   90       90.0
72   test/14315322521.jpg  270      270.0
73   test/14330314647.jpg  270      270.0
74     test/143318681.jpg   90        0.0
75   test/14339926732.jpg  270      270.0
76   test/14347460054.jpg  270      270.0
77   test/14348917526.jpg  270      270.0
78   test/14357653808.jpg  270       90.0
79   test/14426902271.jpg  180      270.0
80   test/14480706829.jpg  180      180.0
81   test/14487318128.jpg   90       90.0
82   test/14511457203.jpg   90      270.0
83   test/14514200941.jpg  270      270.0
84   test/14516765865.jpg    0        0.0
85   test/14534140372.jpg  270      270.0
86   test/14537594947.jpg  180      180.0
87   test/14548226908.jpg   90       90.0
88   test/14558387859.jpg    0        0.0
89   test/14607825329.jpg    0        0.0
90   test/14624259536.jpg    0        0.0
91   test/14645715459.jpg   90      270.0
92   test/14655312706.jpg   90       90.0
93   test/14694481730.jpg    0        0.0
94   test/14705436829.jpg   90       90.0
95   test/14715745533.jpg  180        0.0
96   test/14716382429.jpg  180        0.0
97   test/14772240294.jpg  270      270.0
98   test/14773385882.jpg   90       90.0
99   test/14826675581.jpg  270      270.0
100  test/14869159706.jpg  270      180.0
101  test/14891420066.jpg  180      180.0
102  test/14942041705.jpg  180      180.0
103  test/14945753358.jpg  270      180.0
104  test/14965011945.jpg  180      270.0
105     test/15016498.jpg    0      180.0
106   test/1501857167.jpg   90       90.0
107  test/15023881691.jpg  270       90.0
108  test/15052195535.jpg    0        0.0
109  test/15151066860.jpg   90       90.0
110  test/15157966369.jpg  270      270.0
111  test/15169136829.jpg   90       90.0
112  test/15170757057.jpg   90       90.0
113  test/15189108069.jpg  270      270.0
114  test/15227162696.jpg  270        0.0
115  test/15272943375.jpg    0        0.0
116  test/15293377089.jpg  180      180.0
117  test/15335459586.jpg    0        0.0
118  test/15420416011.jpg  270      270.0
119  test/15443454914.jpg   90      180.0
120  test/15468193222.jpg  180      180.0
121  test/15473159366.jpg    0        0.0
122  test/15474149268.jpg   90      270.0
123  test/15510257067.jpg  270      270.0
124  test/15555639366.jpg  270      270.0
125  test/15563186901.jpg  270      270.0
126  test/15605585461.jpg   90       90.0
127  test/15610971496.jpg   90      270.0
128  test/15619834917.jpg    0        0.0
129  test/15645587020.jpg   90       90.0
130  test/15663683555.jpg   90       90.0
131  test/15670709176.jpg  180      270.0
132  test/15675442167.jpg   90      270.0
133  test/15740365405.jpg  270      270.0
134  test/15745057554.jpg  180      270.0
135  test/15805474676.jpg  180      180.0
136  test/15859219181.jpg  270       90.0
137  test/15893008773.jpg  270      270.0
138  test/15908043627.jpg  180       90.0
139  test/16035121771.jpg   90      270.0
140   test/1608560117.jpg   90       90.0
141  test/16090871716.jpg    0      270.0
142  test/16136953701.jpg  180      270.0
143  test/16156328490.jpg  270      270.0
144  test/16196776241.jpg   90      270.0
145  test/16245443290.jpg   90       90.0
146  test/16260756145.jpg   90       90.0
147     test/16263148.jpg    0        0.0
148     test/16264419.jpg  270      270.0
149  test/16271718816.jpg   90      270.0
150  test/16288893362.jpg  180      180.0
151  test/16289749378.jpg  270      270.0
152    test/163843576.jpg  270        0.0
153  test/16413184652.jpg   90      270.0
154    test/164225933.jpg  180      270.0
155  test/16449473997.jpg  180      180.0
156  test/16459441114.jpg    0        0.0
157  test/16469051512.jpg  270      270.0
158  test/16523392612.jpg    0        0.0
159  test/16552057539.jpg  180      180.0
160  test/16614863162.jpg  180      180.0
161  test/16677765182.jpg  180      180.0
162    test/167350424.jpg    0      270.0
163  test/16817908080.jpg  270      270.0
164  test/16838775415.jpg  270      270.0
165   test/1700730553.jpg   90        0.0
166  test/17010973417.jpg  180      270.0
167  test/17043724089.jpg  270      270.0
168    test/171022118.jpg  270      270.0
169  test/17132544985.jpg  270      180.0
170  test/17171795840.jpg    0      270.0
171    test/171737561.jpg  270      180.0
172  test/17181860036.jpg   90      270.0
173    test/172145743.jpg  180        0.0
174    test/172145755.jpg  180      180.0
175    test/172146422.jpg  180       90.0
176    test/175196643.jpg  180      180.0
177     test/17704265.jpg   90       90.0
178  test/17827041218.jpg   90        0.0
179   test/1785208612.jpg   90      270.0
180    test/178677173.jpg  180      180.0
181  test/17892837849.jpg   90       90.0
182    test/179405447.jpg  180       90.0
183    test/180028153.jpg    0        0.0
184    test/180246673.jpg  270        0.0
185  test/18060875084.jpg  270      270.0
186     test/18079654.jpg    0        0.0
187    test/183588935.jpg  270      270.0
188  test/18437820805.jpg    0      180.0
189  test/18448404206.jpg   90       90.0
190  test/18483023266.jpg    0        0.0
191  test/18545431816.jpg   90       90.0
192  test/18556853329.jpg   90       90.0
193  test/18757337592.jpg  270      180.0
194  test/18804615112.jpg   90      270.0
195     test/18837049.jpg   90       90.0
196  test/18909945575.jpg    0        0.0
197  test/19039803873.jpg  270      270.0
198  test/19062518231.jpg   90       90.0
199  test/19069205003.jpg  270      270.0
200  test/19258778453.jpg  270      270.0
201  test/19448732659.jpg   90       90.0
202  test/19451924004.jpg  180      180.0
203  test/19553352764.jpg  270      270.0
204   test/1958923695.jpg  180      180.0
205  test/19608627215.jpg  180      180.0
206  test/19609624519.jpg    0        0.0
207  test/19699774438.jpg  180      180.0
208     test/19712937.jpg  180      180.0
209    test/197799958.jpg   90       90.0
210  test/19873652500.jpg  180      180.0
211  test/19892830671.jpg    0        0.0
212  test/19923125003.jpg  270      180.0
213   test/2007913302.jpg    0        0.0
214  test/20125780614.jpg    0        0.0
215  test/20176656494.jpg   90      270.0
216  test/20196782874.jpg    0        0.0
217  test/20310072980.jpg  180      180.0
218  test/20317100355.jpg    0        0.0
219  test/20342175702.jpg   90       90.0
220  test/20454860818.jpg  180      180.0
221   test/2049691598.jpg   90      270.0
222   test/2049963557.jpg    0      270.0
223  test/20506775873.jpg  270      270.0
224  test/20594710152.jpg  270      270.0
225   test/2067546646.jpg  270      270.0
226  test/20740449903.jpg    0        0.0
227  test/20779213460.jpg  270      270.0
228   test/2078228622.jpg   90      270.0
229  test/20855809948.jpg    0        0.0
230  test/20909323628.jpg  180      180.0
231   test/2091717624.jpg  180      180.0
232    test/211042198.jpg    0      180.0
233    test/211176116.jpg   90      180.0
234  test/21118358830.jpg    0      270.0
235  test/21187610763.jpg    0        0.0
236    test/212342071.jpg    0      180.0
237  test/21305225519.jpg   90      270.0
238  test/21328964180.jpg    0      270.0
239  test/21353996680.jpg    0      270.0
240   test/2138299854.jpg   90        0.0
241  test/21438550119.jpg  270      180.0
242     test/21468987.jpg  180      270.0
243     test/21469373.jpg  270      180.0
244     test/21470365.jpg    0        0.0
245  test/21570962365.jpg   90      270.0
246  test/21579458303.jpg  180      180.0
247  test/21587387643.jpg    0        0.0
248    test/215928526.jpg    0        0.0
249    test/216401349.jpg  180      270.0
250  test/21654865082.jpg  270      270.0
